code,name,market,wics,trade_date,close,mktcap_억,per,eps,cns_per,cns_eps,pbr,bps,foreign_pct,hi52,lo52,error
002790,아모레퍼시픽홀딩스,KOSPI,화장품,2026-08-28,28000.0,21408,18.59,1506.0,,,0.71,39318.0,14.43,35950.0,19950.0,
241710,코스메카코리아,KOSDAQ,화장품,2026-08-28,153900.0,16437,25.75,5976.0,22.26,6914.0,6.0,25638.0,23.65,156500.0,56800.0,
035250,강원랜드,KOSPI,"호텔,레스토랑,레저",2026-08-28,14790.0,31642,9.58,1544.0,10.14,1459.0,0.75,19725.0,9.17,19700.0,13910.0,
034230,파라다이스,KOSPI,"호텔,레스토랑,레저",2026-08-28,10030.0,9291,12.41,808.0,10.6,946.0,0.5,19937.0,8.04,24000.0,9160.0,
352820,하이브,KOSPI,방송과엔터테인먼트,2026-08-28,180000.0,77592,,-8743.0,41.19,4370.0,2.23,80633.0,18.63,418000.0,157900.0,
030000,제일기획,KOSPI,광고,2026-08-28,19340.0,22249,10.11,1913.0,9.95,1943.0,1.22,15916.0,18.61,23300.0,17760.0,
041510,에스엠,KOSDAQ,방송과엔터테인먼트,2026-08-28,75800.0,17354,13.18,5750.0,14.26,5314.0,1.68,45070.0,31.98,153000.0,63900.0,
035900,JYP Ent.,KOSDAQ,방송과엔터테인먼트,2026-08-28,40100.0,14249,13.12,3057.0,11.81,3396.0,2.05,19575.0,14.44,105100.0,38150.0,
004170,신세계,KOSPI,백화점과일반상점,2026-08-28,405500.0,38300,23.02,17615.0,9.23,43944.0,0.66,616162.0,29.5,798000.0,160800.0,
257720,실리콘투,KOSDAQ,인터넷과카탈로그소매,2026-08-28,53300.0,34952,15.83,3368.0,14.46,3686.0,7.09,7516.0,11.7,56100.0,29850.0,
023530,롯데쇼핑,KOSPI,백화점과일반상점,2026-08-28,102100.0,28883,15.95,6401.0,8.42,12133.0,0.19,541270.0,15.55,211000.0,62700.0,
282330,BGF리테일,KOSPI,백화점과일반상점,2026-08-28,147000.0,25407,11.81,12452.0,10.9,13490.0,1.92,76586.0,39.84,156600.0,101200.0,
007070,GS리테일,KOSPI,백화점과일반상점,2026-08-28,26650.0,22281,17.18,1551.0,9.91,2688.0,0.66,40141.0,13.76,29950.0,15950.0,
139480,이마트,KOSPI,백화점과일반상점,2026-08-28,75100.0,20724,97.66,769.0,-610.57,-123.0,0.15,490692.0,24.01,137500.0,70300.0,
069960,현대백화점,KOSPI,백화점과일반상점,2026-08-28,93400.0,20142,9.05,10322.0,7.51,12431.0,0.43,217975.0,28.66,222000.0,63300.0,
008770,호텔신라,KOSPI,백화점과일반상점,2026-08-28,43000.0,16877,,-3458.0,14.94,2878.0,1.43,30119.0,21.17,70300.0,39700.0,
033780,KT&G,KOSPI,담배,2026-08-28,176300.0,183018,14.21,12405.0,14.05,12547.0,1.89,93205.0,50.9,194900.0,129700.0,
003230,삼양식품,KOSPI,식품,2026-08-28,1547000.0,116536,23.9,64729.0,20.6,75108.0,7.61,203212.0,17.99,1665000.0,981000.0,
271560,오리온,KOSPI,식품,2026-08-28,129500.0,51190,12.21,10602.0,10.72,12079.0,1.26,102850.0,38.97,153000.0,99000.0,
097950,CJ제일제당,KOSPI,식품,2026-08-28,189300.0,28498,,-41473.0,10.22,18531.0,0.41,466060.0,12.49,252000.0,172600.0,
004370,농심,KOSPI,식품,2026-08-28,450500.0,27402,13.92,32367.0,13.2,34135.0,0.87,515963.0,24.74,629000.0,319000.0,
026960,동서,KOSPI,식품,2026-08-28,26150.0,26072,18.05,1449.0,,,1.5,17410.0,3.66,31350.0,20250.0,
140410,메지온,KOSDAQ,식품,2026-08-28,69200.0,21190,,-903.0,,,54.23,1276.0,24.3,179900.0,39400.0,
006040,동원산업,KOSPI,식품,2026-08-28,38650.0,17060,3.94,9808.0,4.41,8774.0,0.45,86550.0,4.51,52000.0,29050.0,
001800,오리온홀딩스,KOSPI,식품,2026-08-28,26200.0,15761,11.68,2243.0,,,0.62,42358.0,9.91,31150.0,18360.0,
007310,오뚜기,KOSPI,식품,2026-08-28,339000.0,13587,18.61,18216.0,,,0.54,622347.0,11.14,519000.0,290500.0,
280360,롯데웰푸드,KOSPI,식품,2026-08-28,146300.0,13466,15.88,9215.0,10.74,13616.0,0.57,256312.0,13.75,148000.0,90000.0,
003380,하림지주,KOSDAQ,식품,2026-08-28,11050.0,12377,7.4,1494.0,,,0.32,35033.0,7.94,19610.0,7060.0,
000080,하이트진로,KOSPI,음료,2026-08-28,15720.0,11025,23.78,661.0,11.3,1391.0,0.95,16552.0,7.36,19650.0,13830.0,
005300,롯데칠성,KOSPI,음료,2026-08-28,99600.0,9242,15.32,6503.0,10.21,9754.0,0.64,154751.0,16.29,165200.0,93900.0,
001680,대상,KOSPI,식품,2026-08-28,18200.0,6306,,-8325.0,,,0.59,30646.0,16.19,24300.0,15880.0,
207940,삼성바이오로직스,KOSPI,제약,2026-08-28,1486000.0,687884,41.05,36202.0,36.67,40521.0,8.22,180839.0,13.22,1987000.0,982000.0,
