순위,종목명,종목코드,시장,업종(WICS),저장소폴더,종가,시가총액(억),후행PER,선행PER(26E),PBR,2026E EPS,2026E BPS,2026E DPS,업종중앙PER,목표가,상방(%),비고
119,삼천당제약,000250,KOSDAQ,제약,16_건강관리,191700,44968,854.61,,16.15,,,,25.1,,,2026E EPS 없음·적자
120,파마리서치,214450,KOSDAQ,건강관리장비와용품,16_건강관리,417000,43325,29.35,21.84,7.0,19097,74618,4284,25.1,478380,14.7,
121,리가켐바이오,141080,KOSDAQ,제약,16_건강관리,116900,43276,,,8.39,-2254,12943,,25.1,,,2026E EPS 없음·적자
122,펩트론,087010,KOSDAQ,생물공학,16_건강관리,184400,42997,,,30.18,,,,25.1,,,2026E EPS 없음·적자
123,심텍,222800,KOSDAQ,전자장비와기기,21_IT하드웨어,113900,42671,,23.44,7.39,4860,20019,125,26.3,127672,12.1,
124,SKC,011790,KOSPI,화학,02_화학,85300,42307,,,3.49,-6118,22295,,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
125,한화생명,088350,KOSPI,생명보험,19_보험,4725,41038,6.4,4.59,0.26,1030,,,13.8,,,선행PER이 업종 중앙 대비 0.3배 — 배수 접근 부적합
126,DB하이텍,000990,KOSPI,반도체와반도체장비,22_반도체,93200,40546,16.12,11.08,1.77,8413,58417,1267,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
127,신세계,004170,KOSPI,백화점과일반상점,14_소매유통,428500,40473,297.51,10.43,0.84,41089,551454,5614,10.8,442118,3.2,
128,영원무역,111770,KOSPI,"섬유,의류,신발,호화품",11_화장품의류완구,90700,40191,8.16,6.72,0.94,13504,108940,2478,15.8,212958,134.8,
129,엘앤에프,066970,KOSPI,전기제품,06_기계,98500,40073,,,5.63,-1089,16099,,40.2,,,2026E EPS 없음·적자
130,CJ,001040,KOSPI,복합기업,08_상사자본재,135800,39622,33.79,12.5,0.87,10862,161544,3376,13.5,146746,8.1,
131,한온시스템,018880,KOSPI,자동차부품,10_자동차,3785,38844,,15.36,1.03,246,3889,70,10.6,2608,-31.1,
132,KCC,002380,KOSPI,건축자재,05_건설건축관련,450000,38668,2.6,2.24,0.42,201206,1267683,14000,12.6,,,선행PER이 업종 중앙 대비 0.2배 — 배수 접근 부적합
133,현대제철,004020,KOSPI,철강,04_철강,28700,38299,,34.98,0.19,821,149100,547,14.9,,,사이클 — 정점 EPS에 정상 배수 적용 불가
134,한전기술,052690,KOSPI,전기유틸리티,26_유틸리티,99600,38067,44.59,61.52,6.06,1619,16652,1062,4.8,,,선행PER이 업종 중앙 대비 12.8배 — 배수 접근 부적합
135,현대해상,001450,KOSPI,손해보험,19_보험,44050,37552,3.86,,0.67,,,1400,13.8,,,2026E EPS 없음·적자
136,피에스케이,319660,KOSDAQ,반도체와반도체장비,22_반도체,129100,37396,47.61,24.65,6.94,5236,23171,737,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
137,한화엔진,082740,KOSPI,조선,07_조선,44700,37301,21.47,18.53,6.71,2412,9144,,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
138,로보티즈,108490,KOSDAQ,기계,06_기계,243500,35700,645.44,846.45,11.22,288,22562,,40.2,,,선행PER이 업종 중앙 대비 21.0배 — 배수 접근 부적합
139,케어젠,214370,KOSDAQ,건강관리업체및서비스,16_건강관리,66000,35452,176.39,,15.18,,,,25.1,,,2026E EPS 없음·적자
140,휴젤,145020,KOSDAQ,생물공학,16_건강관리,282500,35355,24.9,20.07,3.21,14078,102305,,25.1,352654,24.8,
141,넷마블,251270,KOSPI,게임엔터테인먼트,20_소프트웨어,40550,33224,15.49,6.82,0.61,5946,72916,975,15.3,91152,124.8,
142,한국가스공사,036460,KOSPI,가스유틸리티,26_유틸리티,35950,33187,24.95,2.97,0.29,12104,135093,1854,4.8,57978,61.3,
143,보로노이,310210,KOSDAQ,제약,16_건강관리,176500,32552,,,30.94,,,,25.1,,,2026E EPS 없음·적자
144,포스코DX,022100,KOSPI,IT서비스,20_소프트웨어,21200,32231,61.89,,5.65,,,,15.3,,,2026E EPS 없음·적자
145,금호석유화학,011780,KOSPI,화학,02_화학,127400,32050,12.94,6.7,0.52,19006,266009,3008,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
146,HPSP,403870,KOSDAQ,반도체와반도체장비,22_반도체,38400,31603,44.13,26.67,10.08,1440,4668,555,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
147,한미사이언스,008930,KOSPI,제약,16_건강관리,46200,31597,26.69,,3.25,,,,25.1,,,2026E EPS 없음·적자
148,ISC,095340,KOSDAQ,반도체와반도체장비,22_반도체,148600,31499,56.12,35.14,5.67,4229,29392,938,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
149,제주반도체,080220,KOSDAQ,반도체와반도체장비,22_반도체,90400,31136,78.81,,13.41,,,,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
150,파두,440110,KOSDAQ,반도체와반도체장비,22_반도체,62000,31069,,34.13,158.68,1817,2203,,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
151,강원랜드,035250,KOSPI,"호텔,레스토랑,레저",12_호텔레저서비스,14510,31043,9.76,9.94,0.73,1459,20536,1025,9.9,14502,-0.1,
152,서울보증보험,031210,KOSPI,손해보험,19_보험,44450,31036,11.56,,0.6,,,2865,13.8,,,2026E EPS 없음·적자
