code,name,market,wi26,dir,wics,source,k200,prev_dir
140410,메지온,KOSDAQ,필수소비재,15_필수소비재,식품,PG sector_map(wi26),,15_필수소비재
006040,동원산업,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
001800,오리온홀딩스,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
007310,오뚜기,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
280360,롯데웰푸드,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,15_필수소비재
003380,하림지주,KOSDAQ,필수소비재,15_필수소비재,식품,PG sector_map(wi26),,15_필수소비재
000080,하이트진로,KOSPI,필수소비재,15_필수소비재,음료,PG sector_map(wi26),1,
005300,롯데칠성,KOSPI,필수소비재,15_필수소비재,음료,PG sector_map(wi26),1,
001680,대상,KOSPI,필수소비재,15_필수소비재,식품,PG sector_map(wi26),1,
207940,삼성바이오로직스,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
068270,셀트리온,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
196170,알테오젠,KOSDAQ,건강관리,16_건강관리,생물공학,PG sector_map(wi26),,16_건강관리
0126Z0,삼성에피스홀딩스,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
326030,SK바이오팜,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
128940,한미약품,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
000100,유한양행,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
028300,HLB,KOSDAQ,건강관리,16_건강관리,건강관리장비와용품,PG sector_map(wi26),,16_건강관리
214450,파마리서치,KOSDAQ,건강관리,16_건강관리,건강관리장비와용품,PG sector_map(wi26),,16_건강관리
087010,펩트론,KOSDAQ,건강관리,16_건강관리,생물공학,PG sector_map(wi26),,16_건강관리
298380,에이비엘바이오,KOSDAQ,건강관리,16_건강관리,생물공학,PG sector_map(wi26),,16_건강관리
000250,삼천당제약,KOSDAQ,건강관리,16_건강관리,제약,PG sector_map(wi26),,16_건강관리
141080,리가켐바이오,KOSDAQ,건강관리,16_건강관리,제약,PG sector_map(wi26),,16_건강관리
009420,한올바이오파마,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
145020,휴젤,KOSDAQ,건강관리,16_건강관리,생물공학,PG sector_map(wi26),,16_건강관리
310210,보로노이,KOSDAQ,건강관리,16_건강관리,제약,PG sector_map(wi26),,16_건강관리
302440,SK바이오사이언스,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
008930,한미사이언스,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
214370,케어젠,KOSDAQ,건강관리,16_건강관리,건강관리업체및서비스,PG sector_map(wi26),,16_건강관리
347850,디앤디파마텍,KOSDAQ,건강관리,16_건강관리,생물공학,PG sector_map(wi26),,16_건강관리
237690,에스티팜,KOSDAQ,건강관리,16_건강관리,제약,PG sector_map(wi26),,16_건강관리
226950,올릭스,KOSDAQ,건강관리,16_건강관리,생명과학도구및서비스,PG sector_map(wi26),,16_건강관리
214150,클래시스,KOSDAQ,건강관리,16_건강관리,건강관리장비와용품,PG sector_map(wi26),,16_건강관리
068760,셀트리온제약,KOSDAQ,건강관리,16_건강관리,제약,PG sector_map(wi26),,16_건강관리
096530,씨젠,KOSDAQ,건강관리,16_건강관리,생명과학도구및서비스,PG sector_map(wi26),,16_건강관리
007390,네이처셀,KOSDAQ,건강관리,16_건강관리,생물공학,PG sector_map(wi26),,16_건강관리
0009K0,에임드바이오,KOSDAQ,건강관리,16_건강관리,생물공학,PG sector_map(wi26),,16_건강관리
950160,코오롱티슈진,KOSDAQ,건강관리,16_건강관리,생물공학,PG sector_map(wi26),,16_건강관리
006280,녹십자,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
069620,대웅제약,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,16_건강관리
475830,오름테라퓨틱,KOSDAQ,건강관리,16_건강관리,제약,PG sector_map(wi26),,16_건강관리
290650,엘앤씨바이오,KOSDAQ,건강관리,16_건강관리,건강관리장비와용품,PG sector_map(wi26),,16_건강관리
039200,오스코텍,KOSDAQ,건강관리,16_건강관리,제약,PG sector_map(wi26),,16_건강관리
127120,제이에스링크,KOSDAQ,건강관리,16_건강관리,생명과학도구및서비스,PG sector_map(wi26),,16_건강관리
195940,HK이노엔,KOSDAQ,건강관리,16_건강관리,제약,PG sector_map(wi26),,16_건강관리
003090,대웅,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,
185750,종근당,KOSPI,건강관리,16_건강관리,제약,PG sector_map(wi26),1,
491000,리브스메드,KOSDAQ,건강관리,16_건강관리,건강관리장비와용품,PG sector_map(wi26),,16_건강관리
137310,에스디바이오센서,KOSPI,건강관리,16_건강관리,건강관리장비와용품,PG sector_map(wi26),1,
105560,KB금융,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
055550,신한지주,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
086790,하나금융지주,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
316140,우리금융지주,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
024110,기업은행,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
323410,카카오뱅크,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
029780,삼성카드,KOSPI,은행,17_은행,카드,PG sector_map(wi26),1,17_은행
175330,JB금융지주,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
138930,BNK금융지주,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
139130,iM금융지주,KOSPI,은행,17_은행,은행,PG sector_map(wi26),1,17_은행
279570,케이뱅크,KOSPI,은행,17_은행,은행,PG sector_map(wi26),,17_은행
395400,SK리츠,KOSPI,은행,17_은행,부동산,PG sector_map(wi26),,
330590,롯데리츠,KOSPI,은행,17_은행,부동산,PG sector_map(wi26),,
138040,메리츠금융지주,KOSPI,증권,18_증권,증권,PG sector_map(wi26),1,18_증권
006800,미래에셋증권,KOSPI,증권,18_증권,증권,PG sector_map(wi26),1,18_증권
071050,한국금융지주,KOSPI,증권,18_증권,증권,PG sector_map(wi26),1,18_증권
005940,NH투자증권,KOSPI,증권,18_증권,증권,PG sector_map(wi26),1,18_증권
016360,삼성증권,KOSPI,증권,18_증권,증권,PG sector_map(wi26),1,18_증권
039490,키움증권,KOSPI,증권,18_증권,증권,PG sector_map(wi26),1,18_증권
001720,신영증권,KOSPI,증권,18_증권,증권,PG sector_map(wi26),,18_증권
023590,다우기술,KOSPI,증권,18_증권,증권,PG sector_map(wi26),,18_증권
00680K,미래에셋증권2우B,KOSPI,증권,18_증권,증권,WICS '증권' → WI26 다수결,,18_증권
003540,대신증권,KOSPI,증권,18_증권,증권,PG sector_map(wi26),,18_증권
030610,교보증권,KOSPI,증권,18_증권,증권,PG sector_map(wi26),,18_증권
032830,삼성생명,KOSPI,보험,19_보험,생명보험,PG sector_map(wi26),1,19_보험
000810,삼성화재,KOSPI,보험,19_보험,손해보험,PG sector_map(wi26),1,19_보험
005830,DB손해보험,KOSPI,보험,19_보험,손해보험,PG sector_map(wi26),1,19_보험
088350,한화생명,KOSPI,보험,19_보험,생명보험,PG sector_map(wi26),1,19_보험
001450,현대해상,KOSPI,보험,19_보험,손해보험,PG sector_map(wi26),1,19_보험
085620,미래에셋생명,KOSPI,보험,19_보험,생명보험,PG sector_map(wi26),,19_보험
031210,서울보증보험,KOSPI,보험,19_보험,손해보험,PG sector_map(wi26),,19_보험
003690,코리안리,KOSPI,보험,19_보험,손해보험,PG sector_map(wi26),,19_보험
000815,삼성화재우,KOSPI,보험,19_보험,손해보험,WICS '손해보험' → WI26 다수결,,19_보험
082640,동양생명,KOSPI,보험,19_보험,생명보험,PG sector_map(wi26),,19_보험
035420,NAVER,KOSPI,소프트웨어,20_소프트웨어,양방향미디어와서비스,PG sector_map(wi26),1,20_소프트웨어
018260,삼성에스디에스,KOSPI,소프트웨어,20_소프트웨어,IT서비스,PG sector_map(wi26),1,20_소프트웨어
035720,카카오,KOSPI,소프트웨어,20_소프트웨어,양방향미디어와서비스,PG sector_map(wi26),1,20_소프트웨어
307950,현대오토에버,KOSPI,소프트웨어,20_소프트웨어,IT서비스,PG sector_map(wi26),1,20_소프트웨어
259960,크래프톤,KOSPI,소프트웨어,20_소프트웨어,게임엔터테인먼트,PG sector_map(wi26),1,20_소프트웨어
064400,LG씨엔에스,KOSPI,소프트웨어,20_소프트웨어,IT서비스,PG sector_map(wi26),1,20_소프트웨어
377300,카카오페이,KOSPI,소프트웨어,20_소프트웨어,IT서비스,PG sector_map(wi26),1,20_소프트웨어
036570,NC,KOSPI,소프트웨어,20_소프트웨어,게임엔터테인먼트,PG sector_map(wi26),1,20_소프트웨어
022100,포스코DX,KOSPI,소프트웨어,20_소프트웨어,IT서비스,PG sector_map(wi26),1,20_소프트웨어
251270,넷마블,KOSPI,소프트웨어,20_소프트웨어,게임엔터테인먼트,PG sector_map(wi26),1,20_소프트웨어
181710,NHN,KOSPI,소프트웨어,20_소프트웨어,IT서비스,PG sector_map(wi26),,20_소프트웨어
263750,펄어비스,KOSDAQ,소프트웨어,20_소프트웨어,게임엔터테인먼트,PG sector_map(wi26),,20_소프트웨어
462870,시프트업,KOSPI,소프트웨어,20_소프트웨어,게임엔터테인먼트,PG sector_map(wi26),,20_소프트웨어
192080,더블유게임즈,KOSPI,소프트웨어,20_소프트웨어,게임엔터테인먼트,PG sector_map(wi26),1,20_소프트웨어
009150,삼성전기,KOSPI,IT하드웨어,21_IT하드웨어,전자장비와기기,PG sector_map(wi26),1,21_IT하드웨어
011070,LG이노텍,KOSPI,IT하드웨어,21_IT하드웨어,전자장비와기기,PG sector_map(wi26),1,21_IT하드웨어
353200,대덕전자,KOSPI,IT하드웨어,21_IT하드웨어,전자장비와기기,PG sector_map(wi26),,21_IT하드웨어
222800,심텍,KOSDAQ,IT하드웨어,21_IT하드웨어,전자장비와기기,PG sector_map(wi26),,21_IT하드웨어
489790,한화비전,KOSPI,IT하드웨어,21_IT하드웨어,통신장비,PG sector_map(wi26),,21_IT하드웨어
010170,대한광통신,KOSDAQ,IT하드웨어,21_IT하드웨어,통신장비,PG sector_map(wi26),,21_IT하드웨어
